path	parent	name	synapseStore	contentType	used	executed	activityName	activityDescription	libraryPrep	consortium	grant	fileFormat	dataSubtype	runType	modelSystemName	organ	individualID	specimenID	resourceType	isModelSystem	platform	nucleicAcidSource	study	assay	readLength	species	tissue	dataType
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_1.FCHJKY5BBXX_L1_IATCACG.bam_R1.fastq.gz	syn18457738	APOE_3M_1.FCHJKY5BBXX_L1_IATCACG.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE4-16	APOE_3M_1	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_10.FCHJKY5BBXX_L2_IGAGTGG.bam_R2.fastq.gz	syn18457738	APOE_3M_10.FCHJKY5BBXX_L2_IGAGTGG.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE3-1	APOE_3M_10	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_20.FCHJKY5BBXX_L4_IGTTTCG.bam_R1.fastq.gz	syn18457738	APOE_3M_20.FCHJKY5BBXX_L4_IGTTTCG.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE4-5	APOE_3M_20	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_12.FCHJKY5BBXX_L2_IATTCCT.bam_R1.fastq.gz	syn18457738	APOE_3M_12.FCHJKY5BBXX_L2_IATTCCT.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE3-16	APOE_3M_12	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_19.FCHJKY5BBXX_L4_IGTGGCC.bam_R1.fastq.gz	syn18457738	APOE_3M_19.FCHJKY5BBXX_L4_IGTGGCC.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE4-4	APOE_3M_19	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_16.FCHJKY5BBXX_L3_IGATCAG.bam_R2.fastq.gz	syn18457738	APOE_3M_16.FCHJKY5BBXX_L3_IGATCAG.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE3-9	APOE_3M_16	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_1.FCHJKY5BBXX_L1_IATCACG.bam_R2.fastq.gz	syn18457738	APOE_3M_1.FCHJKY5BBXX_L1_IATCACG.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE4-16	APOE_3M_1	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_16.FCHJKY5BBXX_L3_IGATCAG.bam_R1.fastq.gz	syn18457738	APOE_3M_16.FCHJKY5BBXX_L3_IGATCAG.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE3-9	APOE_3M_16	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_15.FCHJKY5BBXX_L3_IACTTGA.bam_R2.fastq.gz	syn18457738	APOE_3M_15.FCHJKY5BBXX_L3_IACTTGA.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE3-6	APOE_3M_15	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_15.FCHJKY5BBXX_L3_IACTTGA.bam_R1.fastq.gz	syn18457738	APOE_3M_15.FCHJKY5BBXX_L3_IACTTGA.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE3-6	APOE_3M_15	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
